,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,W240C,W220P,W260C,W000P,M240C,M220P,M260C,M200P,WS200,WS400,MS200,MS400
869,HK.999010,2022-01-04 19:50:00,23326.0,23346.0,23346.0,23324.0,250,5834067.0,0.0,0.0,23327.0,118.0,98.0,47.0,46.0,358.0,346.0,274.0,258.0,216.0,93.0,704.0,532.0
870,HK.999010,2022-01-04 19:55:00,23343.0,23357.0,23368.0,23340.0,483,11281565.0,0.0,0.0,23346.0,128.0,82.0,47.0,40.0,378.0,346.0,288.0,257.0,210.0,87.0,724.0,545.0
871,HK.999010,2022-01-04 20:00:00,23355.0,23339.0,23355.0,23339.0,151,3525616.0,0.0,0.0,23357.0,128.0,82.0,47.0,40.0,378.0,346.0,281.0,257.0,210.0,87.0,724.0,538.0
872,HK.999010,2022-01-04 20:05:00,23341.0,23342.0,23349.0,23340.0,138,3221660.0,0.0,0.0,23339.0,128.0,82.0,47.0,40.0,378.0,346.0,281.0,257.0,210.0,87.0,724.0,538.0
873,HK.999010,2022-01-04 20:10:00,23341.0,23341.0,23348.0,23336.0,102,2380960.0,0.0,0.0,23342.0,128.0,82.0,47.0,40.0,378.0,346.0,281.0,257.0,210.0,87.0,724.0,538.0
874,HK.999010,2022-01-04 20:15:00,23342.0,23342.0,23346.0,23338.0,113,2637536.0,0.0,0.0,23341.0,117.0,82.0,51.0,40.0,378.0,335.0,281.0,257.0,199.0,91.0,713.0,538.0
875,HK.999010,2022-01-04 20:20:00,23340.0,23340.0,23344.0,23339.0,32,746918.0,0.0,0.0,23342.0,117.0,82.0,51.0,40.0,378.0,335.0,281.0,257.0,199.0,91.0,713.0,538.0
876,HK.999010,2022-01-04 20:25:00,23337.0,23332.0,23340.0,23328.0,194,4526682.0,0.0,0.0,23340.0,117.0,82.0,51.0,40.0,378.0,335.0,281.0,257.0,199.0,91.0,713.0,538.0
877,HK.999010,2022-01-04 20:30:00,23330.0,23326.0,23331.0,23319.0,156,3638987.0,0.0,0.0,23332.0,117.0,82.0,46.0,40.0,364.0,335.0,281.0,257.0,199.0,86.0,699.0,538.0
878,HK.999010,2022-01-04 20:35:00,23325.0,23332.0,23333.0,23321.0,90,2099418.0,0.0,0.0,23326.0,117.0,82.0,46.0,40.0,364.0,335.0,281.0,257.0,199.0,86.0,699.0,538.0
879,HK.999010,2022-01-04 20:40:00,23332.0,23331.0,23335.0,23329.0,137,3196367.0,0.0,0.0,23332.0,117.0,82.0,46.0,40.0,364.0,335.0,281.0,274.0,199.0,86.0,699.0,555.0
880,HK.999010,2022-01-04 20:45:00,23331.0,23331.0,23333.0,23326.0,53,1236475.0,0.0,0.0,23331.0,117.0,82.0,46.0,40.0,364.0,335.0,281.0,274.0,199.0,86.0,699.0,555.0
881,HK.999010,2022-01-04 20:50:00,23329.0,23337.0,23338.0,23329.0,72,1680116.0,0.0,0.0,23331.0,117.0,82.0,46.0,40.0,364.0,335.0,281.0,274.0,199.0,86.0,699.0,555.0
882,HK.999010,2022-01-04 20:55:00,23336.0,23338.0,23342.0,23336.0,58,1353635.0,0.0,0.0,23337.0,117.0,82.0,46.0,40.0,364.0,335.0,281.0,274.0,199.0,86.0,699.0,555.0
883,HK.999010,2022-01-04 21:00:00,23338.0,23341.0,23346.0,23335.0,62,1447120.0,0.0,0.0,23338.0,117.0,82.0,46.0,40.0,364.0,347.0,281.0,274.0,199.0,86.0,711.0,555.0
